date,pool elevation
1981-9,1192.6687122580643
1981-10,1193.1703146875
1981-11,1194.854196774193
1981-12,1196.8306121875
1982-1,1199.4959403125
1982-2,1202.14448862069
1982-3,1201.6368750000001
1982-4,1199.6583838709678
1982-5,1197.6843828125
1982-6,1196.7458122580645
1982-7,1196.4709353125
1982-8,1196.6981278125
1982-9,1198.1241845161292
1982-10,1199.9037625
1982-11,1202.9499987096774
1982-12,1206.9109456249998
1983-1,1207.482498125
1983-2,1208.7517179310346
1983-3,1211.4865684375
1983-4,1211.1077332258064
1983-5,1211.4987496875
1983-6,1215.5541990322579
1983-7,1224.6359362500002
1983-8,1224.02156875
1983-9,1219.926762580645
1983-10,1216.9434434374998
1983-11,1214.2609625806447
1983-12,1212.7315565625
1984-1,1211.187493125
1984-2,1208.619998333333
1984-3,1206.7649999999999
1984-4,1205.941936451613
1984-5,1207.5896843750002
1984-6,1211.271937096774
1984-7,1213.1768796874999
1984-8,1211.8624987500002
1984-9,1210.8332287096778
1984-10,1209.506255625
1984-11,1208.421296451613
1984-12,1208.1275025
1985-1,1207.091560625
1985-2,1206.9324151724138
1985-3,1206.7125009375
1985-4,1206.1580793548387
1985-5,1207.4181293749998
1985-6,1212.1958112903226
1985-7,1214.1971746875001
1985-8,1213.44655625
1985-9,1213.05484483871
1985-10,1212.136565625
1985-11,1209.931604516129
1985-12,1207.3546825
1986-1,1202.602496875
1986-2,1202.2793096551725
1986-3,1202.5762471875
1986-4,1203.681616451613
1986-5,1205.9318775
1986-6,1209.6567780645157
1986-7,1208.32843375
1986-8,1207.1975053125
1986-9,1208.152577419355
1986-10,1208.878134375
1986-11,1209.0045161290323
1986-12,1210.453735
1987-1,1210.3174925
1987-2,1210.6334362068965
1987-3,1209.639988125
1987-4,1207.8964606451611
1987-5,1206.8521846875
1987-6,1205.960315483871
1987-7,1207.1325034375
1987-8,1208.6174934375
1987-9,1209.6716167741934
1987-10,1209.4512603125
1987-11,1209.2629032258062
1987-12,1210.7490728125
1988-1,1210.83094375
1988-2,1211.5003326666667
1988-3,1211.246875625
1988-4,1209.4754870967738
1988-5,1207.2381278125
1988-6,1204.52129483871
1988-7,1202.1478153125
1988-8,1200.4368634375
1988-9,1199.4648425806454
1988-10,1199.2806325000001
1988-11,1199.1738680645162
1988-12,1199.4656218750001
1989-1,1200.5234346875
1989-2,1202.2144768965518
1989-3,1201.301563125
1989-4,1198.93839
1989-5,1194.8559421875
1989-6,1191.2538780645161
1989-7,1190.06406375
1989-8,1189.4849893750002
1989-9,1189.7771029032253
1989-10,1189.8290678125
1989-11,1189.2567738709674
1989-12,1189.3659475
1990-1,1190.6753084375
1990-2,1191.373450689655
1990-3,1190.82782
1990-4,1188.2996819354842
1990-5,1185.3256337499997
1990-6,1182.6819512903228
1990-7,1180.8178174999998
1990-8,1179.1824909375
1990-9,1179.2893574193547
1990-10,1179.409698125
1990-11,1178.6158141935482
1990-12,1178.1887465625
1991-1,1178.9353146875
1991-2,1179.726225172414
1991-3,1179.4274978125
1991-4,1178.6761316129032
1991-5,1176.7137534375001
1991-6,1175.1222551612902
1991-7,1174.0674959375
1991-8,1173.1128125
1991-9,1172.8816106451611
1991-10,1172.4662465625001
1991-11,1171.7941790322577
1991-12,1172.485621875
1992-1,1175.460006875
1992-2,1178.450338333333
1992-3,1180.1653290625
1992-4,1180.1451612903227
1992-5,1178.656566875
1992-6,1176.1164429032256
1992-7,1174.368445625
1992-8,1173.6287540624999
1992-9,1174.1380564516128
1992-10,1174.51969125
1992-11,1175.074201935484
1992-12,1176.1218681250002
1993-1,1179.9221871875002
1993-2,1186.8196468965518
1993-3,1192.1281240624999
1993-4,1193.4632329032254
1993-5,1191.7859349999999
1993-6,1189.1925832258064
1993-7,1187.8065568749998
1993-8,1187.623120625
1993-9,1188.9438622580644
1993-10,1188.7403124999998
1993-11,1188.1906451612901
1993-12,1188.5859375
1994-1,1189.629375
1994-2,1190.4137931034484
1994-3,1189.6975
1994-4,1186.5087096774196
1994-5,1183.0412500000002
1994-6,1180.5554848387096
1994-7,1179.0778115625
1994-8,1178.74936875
1994-9,1178.1590332258063
1994-10,1178.100003125
1994-11,1176.5309593548384
1994-12,1176.1196878125
1995-1,1178.4965631250002
1995-2,1181.3551624137933
1995-3,1182.750935
1995-4,1180.9229106451614
1995-5,1179.0299925
1995-6,1178.6480706451614
1995-7,1179.93718375
1995-8,1181.3028071875
1995-9,1182.9777438709677
1995-10,1185.299694375
1995-11,1187.8767751612907
1995-12,1190.368761875
1996-1,1192.2431256250002
1996-2,1193.7353390000003
1996-3,1193.28875375
1996-4,1193.8100038709679
1996-5,1191.9937368750002
1996-6,1191.0090212903228
1996-7,1190.4337471874999
1996-8,1189.920318125
1996-9,1190.3319290322584
1996-10,1191.3759346875
1996-11,1192.128709032258
1996-12,1193.5993684375
1997-1,1195.3881256250002
1997-2,1195.7672420689653
1997-3,1197.9756281250002
1997-4,1199.720643870968
1997-5,1200.0987509375
1997-6,1200.9741809677419
1997-7,1203.2174918750002
1997-8,1204.0849921875001
1997-9,1204.8038770967746
1997-10,1207.7512540625
1997-11,1211.3967716129032
1997-12,1213.80312375
1998-1,1214.5743753125
1998-2,1214.118286551724
1998-3,1214.0690646875
1998-4,1213.4509670967743
1998-5,1212.202495625
1998-6,1211.720963548387
1998-7,1211.8215715625
1998-8,1213.3006325
1998-9,1215.0674261290321
1998-10,1215.28656375
1998-11,1215.3954845161288
1998-12,1213.5665625
1999-1,1212.4259375000001
1999-2,1212.9717279310344
1999-3,1212.4778059375
1999-4,1210.018720645161
1999-5,1207.694064375
1999-6,1206.9212845161292
1999-7,1206.7890628125
